Uuid__c,Status_desq__c,Remarks__c
bfea55fd-ea92-569a-808d-e16e5aaf323a,Active,"23032020 LT: RC $399,-; Purchase Price: $339,15"
8e981bea-0432-5f01-bfce-969a70c9b60a,Active,"20032020 LT: RC $459,- Purchase Price $390,15"
6ec81eee-9fc4-5df9-b32f-02658d643ddb,Active,"17032020 LT: RC=$299,- ; Purchase price $254,15"
518a48ee-5c42-5d30-bcc7-c40d1f156cd0,Active,JDK Nov 17: Jobs go via Indeed. Selling Glassdoor is no longer possible.
246d3294-f06e-5c71-834b-7703fc361669,Active,"30012020 LT RC = $325,-; Purchase price: $276,25"
6576a612-e874-52c7-9a4a-d7dd3d750ba1,Active,"30012020 LT RC = $179,-; Purchase price: $152,15"
3f4321c8-c393-55fb-8f89-ac64603ade1b,Active,"30012020 LT RC = $395,-; Purchase price: $335,75"
6f50f6f1-1b02-5682-9654-a90f3093794d,Active,"30012020 LT RC = $379,-; Purchase price: $322,15"
926197bc-04b1-5b3b-aeb4-650de7e4ca0b,Active,SF 20-04-21 Blacklisted on Renata's request. They do not offer job posting any more.
69b99972-f69e-5b83-bcb3-cd9dd1149d26,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
0ef4fe2d-b81a-5828-b696-e4af38240aef,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
345d447f-b4a6-580b-bce6-728f76d71d90,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
358ce442-bdb7-53dd-a3b7-85b96697fe86,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
20f73277-546f-5532-aba9-e0e4fe853255,Active,Monster has stopped the collaboration with Alma Media.
b2643c7f-1d07-5de5-a171-ab1e7e0bfc00,Active,"23032020 LT: $329,- ; Purchase Price: $279,65"
1bf87107-48cd-5ba5-a1bd-026adb82d8ed,Active,"230302020 LT: $160,- ; Purchase Price: $136,-"
981dc0a6-0668-5091-9a9f-2912d5515955,Active,"27-05-2021 Tristan de Kooker: eRecruiter has confirmed if we can reduce the listprice of this product, their salesteam will push it and they will pin those products to the top of their list."
09181c0a-3682-59a4-ac4b-ac5b39736b65,Active,16012020 LT: Blacklist tot IGB geregeld is
0ecde32c-3009-5be0-998b-bff2edd8aeb1,Active,16012020 LT: Blacklist tot IGB geregeld is
5ea30f38-c0e9-527f-8608-c082d859ecac,Active,16012020 LT: Blacklist tot IGB geregeld is
bf527892-0eda-526c-a3f0-6416291424c6,Active,"Blacklisted, because we can never reach them."
045ad271-6913-5d6c-bf17-8979bdad7aa5,Active,"Blacklisted, because we can never reach them."
d57d1452-7f6b-5e89-852a-70fbf14ee446,Active,"Blacklisted, because we can never reach them."
be09cf34-bdbf-5592-ab6b-694d7a02e762,Active,"23032020 LT: $260,- ; Purchase Price $221,-"
5f2be448-fc2e-5d6f-856c-942a6d3caf52,Active,"30012020 LT RC = $249,-; Purchase price: $211,65"
ca50017b-0148-55b7-8798-2950ee775167,Active,"30012020 LT RC = $330,-; Purchase price: $280,50"
6de2d0ba-8228-5710-a05c-8c1c9122d6ab,Active,"30012020 LT RC = $630,-; Purchase price: $353,50"
5ab3ed3a-27ad-561b-a25e-eb09ebc9cdb2,Active,Duplicate: 01t08000008qgx8AAA
884e6287-425a-5933-bb8f-ac0584152c9b,Active,New Product: 01t08000008qkemAAA
328e7eb1-a01e-58ae-9751-64b53b906dc4,Active,"30012020 LT RC = $349,-; Purchase price: $296,65"
b45b02a0-a998-5d15-b261-7b8a4fd0b25e,Active,"30012020 LT RC = $349,-; Purchase price: $296,65"
b18fdcfc-5591-5ebf-b533-d3242472efea,Active,"30012020 LT RC = $275,-; Purchase price: $150,-"
06dd69af-8f88-585b-baad-e2b88ba3b676,Active,"10-11-2020 RVR: kevin King is asking us now to register our client in their system and the pre purchase credits for the job. That is not how we work. So I ve balcklisted this channel today.

30012020 LT RC = $990,-; Purchase price: $841,50"
c36722ab-c3a1-5dda-8b93-8eb7f3b95102,Active,"30012020 LT RC = $379,-; Purchase price: $322,15"
a6906153-0ed6-5d99-b4fb-db201ffb77b8,Active,"30012020 LT RC = $549,-; Purchase price: $466,65"
f6d57248-369b-5eb3-8ef8-4d7ffd3392f5,Active,"RVR 01-03-2021: The site reads ""
We are sorry, Workania.hu does not work anymore"" Also Marcel tuin mentioned today that Alma Media doesnt have a Partnership anymore with workania.hu Therefire I will shut off this product for now."
a7ad77cc-a8b4-5273-ab20-01c95df99354,Active,"LR0706: Switched to active after connection changes.

LR0507: BL due to posting issues. Integration needs to be reviewed."
2ea585f2-39ab-59b6-9efb-cdf2e4e4e0d0,Active,06-01-2021 RVR: this product transferred from VakMediaNet to Brandpreventie academy
c1aeb21b-f414-53bc-a045-4747e0ec0306,Active,"Inkoopprijs: OPS budget € 120,-"
d1b641bf-b3fc-5ea8-8b2d-65b91a9dedb8,Active,"Inkoopprijs: OPS budget € 120,-"
84b724bb-4b3f-551b-9098-ab809fceca17,Active,"Inkoopprijs: OPS budget € 150,-"
d9ec74bb-3c56-54a9-a79b-7df762e99e6f,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
1d21e6ae-444e-5cc6-9d05-4648c9e55ceb,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
4fec0a8c-2700-5126-8618-1e0627790eb7,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
46c0e40a-c9ec-550c-b6ce-2f168fc4eb89,Active,Feb 25 2021 JDK: Temporary offline because channel doesn't seem to support job board anymore.
e1d641d4-8425-57ba-afae-4a089768058e,Active,30-04-21 SF Blacklisted because it takes too long to get the job online (even with IGB)
309091bc-681d-5d0a-9b2c-0d0de1145ed5,Active,"30012020 LT RC = $350,-; Purchase price: $297,50"
d8ccfd4d-0ea6-5f90-a809-5fe2b5eaa67d,Active,"30012020 LT RC = $399,-; Purchase price: $339,15"
07e652a2-6f94-53aa-9a9c-3aa7f7a90827,Active,"30012020 LT RC = $275,-; Purchase price: $150,-"
29157c27-a662-55e2-afec-2f8510235bd8,Active,"30012020 LT RC = $275,-; Purchase price: $150,-"
7ee07206-f2a8-565c-9eb9-a2fde20e3dc1,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
a86c28a4-dfe9-5383-8530-ee8cbd449dd9,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
cf68b31a-0ff4-5a2a-9d10-cb91ef574b3b,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
e5eae904-f8e4-5163-966c-e52b98e1a224,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
8a73f76a-80b4-58a0-95b0-a44afeef3111,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
